"somme","type","definition","exceptions","valeur","name","report"
,"S","['2801','2901']","[]","solde","aca","bilan"
,"S","['2803','2903']","[]","solde","acb","bilan"
,"S","['2805','2905']","[]","solde","acc","bilan"
,"S","['2807','2907']","[]","solde","acd","bilan"
,"S","['2808','2908']","[]","solde","ace","bilan"
,"S","['2932']","[]","solde","acf","bilan"
,"S","['2811','2812','2911']","[]","solde","acg","bilan"
,"S","['2813','2814']","[]","solde","ach","bilan"
,"S","['2815']","[]","solde","aci","bilan"
,"S","['2818','282']","[]","solde","acj","bilan"
,"S","['2931']","[]","solde","ack","bilan"
,"S","['2961','2966']","[]","solde","acl","bilan"
,"S","['2967']","[]","solde","acm","bilan"
,"S","['2973']","[]","solde","acn","bilan"
,"S","['2971','2972']","[]","solde","aco","bilan"
,"S","['2974']","[]","solde","acp","bilan"
,"S","['2975','2976']","[]","solde","acq","bilan"
,"S","['391','392']","[]","solde","acr","bilan"
,"S","['393','394']","[]","solde","acs","bilan"
,"S","['395']","[]","solde","act","bilan"
,"S","['397']","[]","solde","acu","bilan"
,"S","['491']","[]","solde","acv","bilan"
,"S","['495','496']","[]","solde","acw","bilan"
,"S","['5903']","[]","solde","acx","bilan"
,"S","['5904','5906','5908']","[]","solde","acy","bilan"
,"S","['109']","[]","solde","ca","bilan"
,"S","['607','6097']","[]","solde","ca","resultat"
,"S","['502']","[]","solde","cab","bilan"
,"S","['503','504','505','506','507','508']","[]","solde","cac","bilan"
,"S","['52']","[]","solde","cad","bilan"
,"S","['511','512','514','515','516','517','518','53','54']","[]","solde","cae","bilan"
,"S","['486']","[]","solde","caf","bilan"
,"S","['4091']","[]","solde","cag","bilan"
,"S","['201']","[]","solde","cb","bilan"
,"S","['6037']","[]","solde","cb","resultat"
,"S","['203']","[]","solde","cc","bilan"
,"S","['601','602','6091','6092']","[]","solde","cc","resultat"
,"S","['205']","[]","solde","cd","bilan"
,"S","['6031','6032']","[]","solde","cd","resultat"
,"S","['206','207']","[]","solde","ce","bilan"
,"S","['604','605','606','6094','6095','6096','6098','61','62','619','629']","[]","solde","ce","resultat"
,"S","['208']","[]","solde","cf","bilan"
,"S","['63']","[]","solde","cf","resultat"
,"S","['232']","[]","solde","cg","bilan"
,"S","['641','644']","[]","solde","cg","resultat"
,"S","['237']","[]","solde","ch","bilan"
,"S","['645','646','647','648']","[]","solde","ch","resultat"
,"S","['211','212']","[]","solde","ci","bilan"
,"S","['6811','6812']","[]","solde","ci","resultat"
,"S","['213','214']","[]","solde","cj","bilan"
,"S","['6816']","[]","solde","cj","resultat"
,"S","['215']","[]","solde","ck","bilan"
,"S","['6817']","[]","solde","ck","resultat"
,"S","['218']","[]","solde","cl","bilan"
,"S","['6815']","[]","solde","cl","resultat"
,"S","['231']","[]","solde","cm","bilan"
,"S","['651','653','654','658']","[]","solde","cm","resultat"
,"S","['238']","[]","solde","cn","bilan"
,"S","['686']","[]","solde","cn","resultat"
,"S","['261','262','266']","[]","solde","co","bilan"
,"S","['661','664','665','668']","[]","solde","co","resultat"
,"S","['267','268']","[]","solde","cp","bilan"
,"S","['666']","[]","solde","cp","resultat"
